DATE_TIME,pollutant_clean
2025-08-30,7.386825927824248e-06
2025-08-31,7.386825927824248e-06
2025-09-01,-0.00011363973453623788
2025-09-02,-0.0002346662950003
2025-09-03,-0.000127271494420675
2025-09-04,-1.9876693841050015e-05
2025-09-05,8.751810673857501e-05
2025-09-06,0.0001949129073182
2025-09-07,9.779906969242198e-05
2025-09-08,6.852320666439482e-07
2025-09-09,1.297364451602334e-05
2025-09-10,-8.952670214057451e-07
2025-09-11,-1.476417855883483e-05
2025-09-12,-2.8633090096263913e-05
2025-09-13,-4.2502001633693e-05
2025-09-14,-5.6370913171122083e-05
2025-09-15,-7.023982470855117e-05
2025-09-16,0.000190605118405
2025-09-17,6.44826068310067e-05
2025-09-18,-4.876991442870349e-05
2025-09-19,-2.9571401682915166e-06
2025-09-20,4.285563409212045e-05
2025-09-21,5.7543917137081735e-05
2025-09-22,7.223220018204302e-05
2025-09-23,-9.24184041650733e-06
2025-09-24,-8.519120046910367e-05
2025-09-25,-0.0001611405605217
2025-09-26,-1.531498492113315e-05
2025-09-27,5.2613359002862126e-08
2025-09-28,1.5420211639138873e-05
2025-09-29,3.078780991927489e-05
2025-09-30,4.615540819941089e-05
2025-10-01,2.96921771223424e-05
2025-10-02,-0.0001230676134582
2025-10-03,-4.3665575503799994e-05
2025-10-04,3.57364624506e-05
2025-10-05,0.000115138500405
2025-10-06,-8.667224028613418e-05
2025-10-07,-5.823297215101775e-05
2025-10-08,-2.979370401590131e-05
2025-10-09,7.148550503188744e-05
2025-10-10,6.691127637168393e-05
2025-10-11,6.23370477114804e-05
2025-10-12,5.7762819051276895e-05
2025-10-13,5.318859039107338e-05
2025-10-14,4.861436173086986e-05
2025-10-15,4.280459506844636e-06
2025-10-16,-5.4722132063027684e-05
2025-10-17,-0.0001137247236329
2025-10-18,-9.266014467356327e-05
2025-10-19,-7.159556571422656e-05
2025-10-20,-5.0530986754889826e-05
2025-10-21,-2.94664077955531e-05
2025-10-22,-7.481537904822248e-05
2025-10-23,-0.00012016435030089186
2025-10-24,-0.00016551332155356123
2025-10-25,-0.00021086229280623063
2025-10-26,-0.00024212571906900848
2025-10-27,2.602974927867763e-05
2025-10-28,-8.174632239388302e-05
2025-10-29,2.285913615196478e-05
2025-10-30,-4.236363747622818e-05
2025-10-31,-4.197225109692226e-07
2025-11-01,8.962918946053833e-05
2025-11-02,-3.641518560471013e-05
2025-11-03,-4.697287658927962e-05
2025-11-04,-5.753056757384911e-05
2025-11-05,-6.80882585584186e-05
2025-11-06,-7.864594954298809e-05
2025-11-07,-8.920364052755758e-05
2025-11-08,7.138225919334218e-05
2025-11-09,-0.0001817121665226
2025-11-10,-0.00014953634126866347
2025-11-11,-0.00011736051601472695
2025-11-12,-8.518469076079042e-05
2025-11-13,-5.300886550685391e-05
2025-11-14,7.692540384596214e-05
2025-11-15,2.691621193662286e-05
2025-11-16,1.326822439295938e-05
2025-11-17,5.7678292197323585e-06
2025-11-18,-1.7325659534946636e-06
2025-11-19,-9.232961126721685e-06
2025-11-20,-1.673335629994871e-05
2025-11-21,-2.423375147317573e-05
2025-11-22,-3.173414664640275e-05
2025-11-23,-3.9234541819629775e-05
