Tanggal,NO2 (Harian),NO2 (30-hari MA),CO (Harian),CO (30-hari MA),SO2 (Harian),SO2 (30-hari MA),CH4 (Harian),CH4 (30-hari MA)
45899,14.3635029711841,14.3635029711841,0.0261076392945691,0.0261076392945691,1.26877900813191,1.26877900813191,98.9121398340844,98.9121398340844
45900,28.7678576602479,21.565680315716,0.0952693154991274,0.0606884773968482,0.246714546117818,0.757746777124864,55.4049279576278,77.1585338958561
45901,23.2998485452851,22.143736392239,0.0286747349860384,0.0500172299265783,1.14249667435133,0.885996742867017,28.8632828935512,61.0601168950878
45902,19.9664621049259,21.5994178204108,0.0436825467951488,0.0484335591437209,0.6047011707588,0.815672849839963,8.6516670418381,47.9580044317754
45903,8.90046601106091,19.0596274585408,0.0557994678135596,0.0499067408776886,0.603035172931301,0.773145314458231,45.0024801012085,47.366899565662
45904,8.89986300840507,17.3663333835182,0.130279248732804,0.0633021588535411,0.952933732865412,0.803110050859428,47.8079890057931,47.4404144723505
45905,6.45209030420499,15.8071558007591,0.103252629833724,0.0690093689935672,0.651291371523552,0.78142166809716,5.80367808973814,41.4923092748345
45906,26.6544036443734,17.1630617812109,0.0857627097196765,0.0711035365843309,0.672701653805258,0.767831666310672,17.1691203726184,38.4519106620575
45907,20.0278752935802,17.4813743936964,0.0140619354194105,0.0647655808993397,0.813863373425449,0.772946300434536,12.4791204382965,35.5660450816396
45908,22.7018144449011,18.0034183988169,0.11272476147924,0.0695614989573297,1.0942071906579,0.805072389456873,63.1117765877382,38.3206182322494
45909,5.51461235739506,16.8680723950513,0.0652930025803408,0.0691734538321489,1.44473671528793,0.863223691805151,85.7620228109668,42.633473193951
45910,29.2477463040499,17.8997118874678,0.122286596608013,0.0735995490634709,0.739269552514512,0.852894180197598,65.3601396876677,44.5273620684274
45911,25.8110660200105,18.5082775899711,0.0456189576203831,0.0714471958755411,0.698712129486253,0.841034022450571,99.0814467910222,48.7238301240116
45912,10.3084777669569,17.9225776026129,0.0179638911311613,0.0676269598223711,0.258849181567959,0.799449390958956,47.5647240919748,48.641036836009
45913,9.54562418017752,17.3641140411172,0.131330809725888,0.0718738831492722,0.405058417085134,0.773156659367368,62.2111538731685,49.545711305153
45914,9.58511274633585,16.8779264601934,0.040944059423812,0.069940769166431,1.44046089669508,0.81486317420035,28.9840534465856,48.2606076889925
45915,12.6060560739884,16.6266399668872,0.0666985227266164,0.0697500487876183,1.42069100856615,0.850500105633633,97.6243282659366,51.1643559582245
45916,18.118910790806,16.7095439015494,0.0542535059425492,0.0688891297406701,1.3345539936191,0.877391988299492,67.6337319140359,52.0793212891029
45917,15.7986254660529,16.6616008259969,0.0207327779995026,0.0663545849121876,1.00497478736475,0.884106872460821,44.6125579886799,51.6863337469754
45918,12.2807285049511,16.4425572099446,0.128051457192159,0.0694394285261861,0.399354736982852,0.859869265686923,29.6790466849574,50.5859693938745
45919,20.2963223680595,16.6260698365215,0.128851480684281,0.0722685738670478,0.991564819329575,0.866140482527049,51.460268720667,50.6276026951503
45920,8.48734651630105,16.2561278674206,0.146005112800954,0.0756202347276799,0.294804752778865,0.840170676629404,12.1336286838035,48.8778766037255
45921,12.3036162133805,16.0842795346363,0.0639527680153193,0.0751129535662729,0.742185698427508,0.835910460185844,23.4685241448863,47.7731221489933
45922,14.1590460823423,16.004061474124,0.143628337515213,0.0779677612308121,1.32340845921885,0.856222876812219,48.3766781615078,47.7982703161814
45923,16.4017496054259,16.0199689993761,0.0724061705175606,0.077745297602282,0.461830428213903,0.840447178868286,25.0330575212312,46.8876618043834
45924,24.6293990348253,16.3511009238164,0.103761451241053,0.0787459188960809,1.03079153686754,0.847768115714411,39.4102692431095,46.600069782796
45925,9.991844553959,16.115572910118,0.0215500069576018,0.0766275517872483,1.30774407045174,0.864804262186164,82.0684693289723,47.9137142104321
45926,17.8558609603403,16.1777260547688,0.135593801197415,0.0787334892661828,0.308387288261907,0.844932227403155,8.37953773099311,46.5017793361664
45927,19.8103642215511,16.3029894398303,0.0517204900964268,0.0778020065361913,0.888129941422562,0.846421803748652,92.3918043637393,48.0841939922896
45928,6.16126031799994,15.9649318024359,0.0467226751634934,0.076766028823768,0.322817369338407,0.828968322601644,23.2647121189363,47.2568779298445
45929,20.188621297536,16.1591024133143,0.010718136869024,0.0762530454095832,0.342052897215219,0.798077452237754,70.9307769761916,46.3241658345814
